t,xA,yA,xB,yB,xC,yC
1.456736,-2.629461,0.816523,-2.475135,1.494607,-0.922148,1.762185
1.461085,-2.646216,0.815821,-2.474984,1.493220,-0.922620,1.762438
1.465433,-2.654792,0.815701,-2.475118,1.493412,-0.922673,1.762752
1.469782,-2.661409,0.815252,-2.474790,1.492298,-0.922850,1.762737
1.474130,-2.663557,0.814607,-2.475255,1.494061,-0.922974,1.762642
1.478479,-2.664531,0.814175,-2.474832,1.492662,-0.922837,1.762549
1.482827,-2.664946,0.814912,-2.475262,1.493398,-0.922951,1.762798
1.487176,-2.664917,0.815070,-2.475272,1.493152,-0.923018,1.762751
1.491524,-2.665110,0.815362,-2.475685,1.494723,-0.923080,1.762812
1.495873,-2.663715,0.815292,-2.475501,1.494039,-0.923091,1.762585
1.500221,-2.663171,0.816160,-2.475501,1.494888,-0.922807,1.762744
1.504569,-2.662830,0.816032,-2.475257,1.494566,-0.922830,1.762752
1.508918,-2.662750,0.816074,-2.475637,1.495540,-0.922808,1.762762
1.513266,-2.662585,0.815932,-2.475306,1.494758,-0.922777,1.762684
1.517615,-2.663354,0.815975,-2.475352,1.493550,-0.922533,1.762775
1.521963,-2.664067,0.815858,-2.475017,1.493162,-0.922519,1.762639
1.526312,-2.665563,0.815327,-2.475400,1.493865,-0.922585,1.762655
1.530660,-2.666331,0.814293,-2.474907,1.492400,-0.922752,1.762697
1.535009,-2.667788,0.813954,-2.475001,1.491682,-0.922531,1.762673
1.539357,-2.668818,0.813148,-2.474430,1.490663,-0.922614,1.762568
1.543706,-2.627640,0.809562,-2.474904,1.490650,-0.922491,1.762481
1.548054,-2.628158,0.807874,-2.474484,1.489893,-0.922584,1.762598
1.552403,-2.638759,0.807744,-2.474857,1.490471,-0.922439,1.762601
1.556751,-2.646505,0.807407,-2.474320,1.490376,-0.922381,1.762642
1.561100,-2.655609,0.807706,-2.474551,1.490289,-0.922564,1.762596
1.565448,-2.659876,0.807266,-2.474392,1.490966,-0.922674,1.762587
1.569796,-2.660218,0.807382,-2.474769,1.491496,-0.922491,1.762669
1.574145,-2.660167,0.807243,-2.474401,1.490622,-0.922434,1.762515
1.578493,-2.660050,0.807381,-2.474809,1.492131,-0.922438,1.762547
1.582842,-2.658897,0.807096,-2.474641,1.491587,-0.922647,1.762332
1.587190,-2.658873,0.807404,-2.475038,1.492027,-0.922384,1.762526
